Unq_ID,DataOrigin,TraitName,OLDTrait,LifeStage,Sex,TraitDef,OLDTraitDef,RearTemp,AmbientTemp,TraitValue,OLDTraitValue,TraitUnit,OLDTraitUnit,Time,OLDTime,ErrorPosSI,ErrorNegSI,ErrorUnitSI,Replicates,Cohort (n),Labfield,Location ,Genus,Species,Citation,FigureTable,Notes,,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,30,0.00000132,0.113636364,1/s,1/days,,758000,0.0000193,0.0000193,1/s,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of second required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,35,0.000000941,0.081300813,1/s,1/days,,1060000,0.0000165,0.0000165,1/s,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,15,35,,days,,,,,,,11,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,20,14.4,,days,,,,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,25,10.4,,days,,,,,,,13,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,30,8.8,,days,,,,,,,14,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
247,Natcha,Development Time,MDR,,,total Time larvae develop to adult,,25,35,12.3,,days,,,,,,,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 1,"Acclimation period was for freshly laid eggs, values from table not raw.",,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,15,15,,days,,,,,,,11,15,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,20,5.39,,days,,,,,,,13,23,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,25,5.54,,days,,,,,,,13,27,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,30,4.17,,days,,,,,,,14,23,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
236,Natcha,Pre-reproductive Period,Pre-blood mean period,,,Average time between emergence and the first bloodmeal,,25,35,10.8,,days,,,,,,,19,18,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 4,,,,,,,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,22,9933642.688,0.99134,s,probability,,,,,,3,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,,,,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,24,7575765.505,0.98866,s,probability,,,,,,3,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,,,,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,26,6969697.758,0.98768,s,probability,,,,,,2,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,22,0.000000556,0.04808,1/s,1/days,,1800000,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,26,0.000000631,0.05454,1/s,1/days,,1580000,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,30,0.000000681,0.05885,1/s,1/days,,1470000,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,22,0.000000111,0.99046,s,Probability,,,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,9013334.756,,,,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,26,0.000000185,0.98418,s,Probability,,,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,5418126.4,,,,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,30,0.000000392,0.96674,s,Probability,,,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,2554271.433,,,,,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,18,18,0.000000472,0.04082,1/s,1/days,,,,,,1,515,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,,,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,24,24,0.00000105,0.09091,1/s,1/days,,,,,,1,556,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,,,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,32,32,0.000001286,0.11111,1/s,1/days,,,,,,1,445,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,,,,,
248,Natcha ,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,18,18,24.498,,days,,,,,,,1,515,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,24,24,11,,days,,,,,,,1,556,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,32,32,9,,days,,,,,,,1,445,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,,,,,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,22,0.88089,0.88089,probability,NA,13.238,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,27,0.98491,0.98491,probability,NA,9.222,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,32,0.89416,0.89416,probability,NA,8.237,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,22,0.90812,0.90812,probability,NA,10.9,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,27,0.9359,0.9359,probability,NA,7.36,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,32,0.81944,0.81944,probability,NA,6.32,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,22,13.238,,days,,,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,27,9.222,,days,,,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,32,8.237,,days,,,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,22,10.9,,days,,,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,27,7.36,,days,,,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
249,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,,32,6.32,,days,,,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,,,,,
9,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,25,0.00000109,0.09438,1/s,1/days,15.499,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 1a,,,,,,,,
9,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,37,0.00000151,0.130508475,1/s,1/days,7.662,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 1b,,,,,,,,
10,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,25,0.89189,0.89189,probability,NA,10.595,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 2a,,,,,,,,
10,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,37,0.29833,0.29833,probability,NA,7.662,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 2b,,,,,,,,
11,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,15,0.625,0.625,probability,NA,NA,,,,,4,NA,Lab,North Carolina ,Aedes,albopictus,Teng_Apperson_2000_JMedEnto,Fig 3,,,,,,,,
11,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,23,0.71226,0.71226,probability,NA,NA,,,,,4,NA,Lab,North Carolina ,Aedes,albopictus,Teng_Apperson_2000_JMedEnto,Fig 3,,,,,,,,
11,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,31,0.80425,0.80425,probability,NA,NA,,,,,4,NA,Lab,North Carolina ,Aedes,albopictus,Teng_Apperson_2000_JMedEnto,Fig 3,,,,,,,,
12,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,20,20,0.82684,0.82684,probability,NA,15.701,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Fig 1a,,,,,,,,
12,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.99407,0.99407,probability,NA,9.84,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Fig 1a,,,,,,,,
12,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,30,30,0.87459,0.87459,probability,NA,8.23,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Fig 1a,,,,,,,,
13,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,20,20,0.73097,0.73097,probability,NA,15.601,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Fig 1b,,,,,,,,
13,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.70858,0.70858,probability,NA,28.297,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Fig 1b,,,,,,,,
13,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,30,30,0.53992,0.53992,probability,NA,15.8,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Fig 1b,,,,,,,,
14,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,20,20,0.000000737,0.06369,1/s,1/days,15.701,,0.0000503,0.0000503,1/s,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
14,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,0.00000118,0.10163,1/s,1/days,9.84,,0.000072338,0.000072338,1/s,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
14,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,30,30,0.00000141,0.12151,1/s,1/days,8.23,,0.0000772,0.0000772,1/s,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
15,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,20,20,0.000000742,0.0641,1/s,1/days,15.601,,0.00000689,0.00000689,1/s,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
15,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,0.000000409,0.03534,1/s,1/days,28.297,,0.000005144,0.000005144,1/s,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
15,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,30,30,0.000000733,0.06329,1/s,1/days,15.8,,0.00000344,0.00000344,1/s,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,20,20,15.701,,Days,,,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,25,25,9.84,,Days,,,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,30,30,8.23,,Days,,,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,20,20,15.601,,Days,,,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,25,25,28.297,,Days,,,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
248,Natcha,Development Time,,,,Time at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,30,30,15.8,,Days,,,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,,,,,
237,Natcha,Egg/Female,egg per female,,,,,25,20,34.43,,eggs/female,,,,,,,4,,Lab,Florida ,Aedes,aegypti,Muturi 2013,Fig.2,,,,,,,,
237,Natcha,Egg/Female,egg per female,,,,,25,25,34.91,,eggs/female,,,,,,,4,,Lab,Florida ,Aedes,aegypti,Muturi 2013,Fig.2,,,,,,,,
237,Natcha,Egg/Female,egg per female,,,,,25,30,27.66,,eggs/female,,,,,,,4,,Lab,Florida ,Aedes,aegypti,Muturi 2013,Fig.2,,,,,,,,
16,Erin (vector-borne_disease_data_adjusted),Egg/Female/Day,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,15,20,20,eggs/female/day,eggs/cycle,0,,,,,1,1,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,,,,,,,,,
16,Erin (vector-borne_disease_data_adjusted),Egg/Female/Day,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,20,5.264,42.63636,eggs/female/day,eggs/cycle,4.3,,,,,1,11,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,"Raw Data from Author,cycle divided by average cycle length ",,,,,,,,
