Unq_ID,DataOrigin,Trait,OLDTrait,LifeStage,Sex,TraitDef,OLDTraitDef,RearTemp,AmbientTemp,TraitValueSI,OLDTraitValueSI,TraitUnitSI,OLDTraitUnit,TotalTime,ErrorPosSI,ErrorNegSI,ErrorUnitSI,Replicates,Cohort (n),Labfield,Location ,Genus,Species,Citation,FigureTable,Notes,,,
2,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,35,0.000000941,0.081300813,1/s,1/days,1.06E+06,1.65E-05,1.65E-05,1/s,19,10,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Table 2,"Acclimation period was for freshly laid eggs, values from table not raw.",,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,22,9933642.688,0.99134,s,Probability,,,,,3,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,24,7575765.505,0.98866,s,Probability,,,,,3,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,
3,Erin (vector-borne_disease_data_adjusted),Longevity,p,,,"the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,26,6969697.758,0.98768,s,Probability,,,,,2,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001a_JMedEnto,Table 2,"No rear temperature mention, only mating temperature",,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,22,5.56E-07,0.04808,1/s,1/days,1.80E+06,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,26,6.31E-07,0.05454,1/s,1/days,1.58E+06,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,
4,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,30,6.81E-07,0.05885,1/s,1/days,1.47E+06,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Fig 2a,,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,22,1.11E-07,0.99046,s,Probability,,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,9013334.756,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,26,1.85E-07,0.98418,s,Probability,,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,5418126.4,,,
5,Erin (vector-borne_disease_data_adjusted),Mortality Rate,p,,,"the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan","the average daily probability of an adult vector surviving, equal to the exponential of negative mu, the daily mortality rate, assuming a constant mortality rate throughout the adult vector lifespan",,30,3.92E-07,0.96674,s,Probability,,,,,9,100,Lab,Midwestern USA,Aedes,albopictus,Alto_et_al_2001b_JMedEnto,Longevity in AA column,2554271.433,,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,18,18,4.72E-07,0.04082,1/s,1/days,,,,,1,515,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,24,24,1.05E-06,0.09091,1/s,1/days,,,,,1,556,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,
6,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,32,32,0.000001286,0.11111,1/s,1/days,,,,,1,445,Lab,Florida ,Aedes,albopictus,Westbrook_et_al_2010_VecBorn&ZooDis,Table 1,"Median Value, no replication number givens so in it's place n was given",,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,22,0.88089,0.88089,probability,NA,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,27,0.98491,0.98491,probability,NA,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,
7,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,32,0.89416,0.89416,probability,NA,,,,,5,100,Lab,Florida ,Aedes,albopictus,Westbrook_Thesis_2010,Fig 4-1,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,22,0.90812,0.90812,probability,NA,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,27,0.9359,0.9359,probability,NA,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,
8,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,32,0.81944,0.81944,probability,NA,,,,,5,100,Lab,Florida ,Aedes,aegypti,Westbrook_Thesis_2010,Fig 4-4,,,,
9,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,25,1.09E-06,0.09438,1/s,1/days,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 1a,,,,
9,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,,37,1.51E-06,0.130508475,1/s,1/days,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 1b,,,,
10,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,25,0.89189,0.89189,probability,NA,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 2a,,,,
10,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,37,0.29833,0.29833,probability,NA,,,,,3,20,Lab,,Aedes,albopictus,Witwatana_Kittayaong_2006_Med&VetEnt,Fig 2b,,,,
11,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,15,0.625,0.625,probability,NA,,,,,4,NA,Lab,North Carolina ,Aedes,albopictus,Teng_Apperson_2000_JMedEnto,Fig 3,,,,
11,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,23,0.71226,0.71226,probability,NA,,,,,4,NA,Lab,North Carolina ,Aedes,albopictus,Teng_Apperson_2000_JMedEnto,Fig 3,,,,
11,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,,31,0.80425,0.80425,probability,NA,,,,,4,NA,Lab,North Carolina ,Aedes,albopictus,Teng_Apperson_2000_JMedEnto,Fig 3,,,,
12,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,20,20,0.82684,0.82684,probability,NA,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Fig 1a,,,,
12,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.99407,0.99407,probability,NA,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Fig 1a,,,,
12,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,30,30,0.87459,0.87459,probability,NA,,,,,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Fig 1a,,,,
13,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,20,20,0.73097,0.73097,probability,NA,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Fig 1b,,,,
13,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,25,25,0.70858,0.70858,probability,NA,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Fig 1b,,,,
13,Erin (vector-borne_disease_data_adjusted),Juvenile Survivorship,pEA,Egg-Adult,,probability that a vector survives from the egg stage to the adult stage,probability that a vector survives from the egg stage to the adult stage,30,30,0.53992,0.53992,probability,NA,,,,,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Fig 1b,,,,
14,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,20,20,7.37E-07,0.06369,1/s,1/days,,5.03E-05,5.03E-05,1/s,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,
14,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,1.18E-06,0.10163,1/s,1/days,,0.000072338,0.000072338,1/s,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,
14,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,30,30,1.41E-06,0.12151,1/s,1/days,,7.72E-05,7.72E-05,1/s,5,30,Lab,Florida ,Aedes,albopictus,Muturi_et_al_2011_JMedEnto,Table 3,,,,
15,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,20,20,7.42E-07,0.0641,1/s,1/days,,6.89E-06,6.89E-06,1/s,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,
15,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,25,25,0.000000409,0.03534,1/s,1/days,,0.000005144,0.000005144,1/s,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,
15,Erin (vector-borne_disease_data_adjusted),Development Rate,MDR,,,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,the rate at which a larval vector develops into an adult; the inverse of the number of days required for development from egg to adult,30,30,7.33E-07,0.06329,1/s,1/days,,3.44E-06,3.44E-06,1/s,5,30,Lab,Florida ,Culex,restuans,Muturi_et_al_2011_JMedEnto,Table 3,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,15,20,20,eggs/cycle,NA,,,,,1,1,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,20,42.63636,42.63636,eggs/cycle,NA,,,,,1,11,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,20,51.8,51.8,eggs/cycle,NA,,,,,1,5,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,20,80,80,eggs/cycle,NA,,,,,1,2,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,20,77,77,eggs/cycle,NA,,,,,1,1,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,68.61538,68.61538,eggs/cycle,NA,,,,,1,26,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,70.85714,70.85714,eggs/cycle,NA,,,,,1,21,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,74.30769,74.30769,eggs/cycle,NA,,,,,1,13,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,53.66667,53.66667,eggs/cycle,NA,,,,,1,9,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,39.66667,39.66667,eggs/cycle,NA,,,,,1,6,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,101.5,101.5,eggs/cycle,NA,,,,,1,2,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,35,35,eggs/cycle,NA,,,,,1,2,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,25,18,18,eggs/cycle,NA,,,,,1,1,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,77.19048,77.19048,eggs/cycle,NA,,,,,1,21,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,98.68421,98.68421,eggs/cycle,NA,,,,,1,19,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,60.3125,60.3125,eggs/cycle,NA,,,,,1,16,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,67.90909,67.90909,eggs/cycle,NA,,,,,1,11,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,67.66667,67.66667,eggs/cycle,NA,,,,,1,9,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,41.75,41.75,eggs/cycle,NA,,,,,1,4,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,30,14.5,14.5,eggs/cycle,NA,,,,,1,2,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,35,47.93333,47.93333,eggs/cycle,NA,,,,,1,15,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
16,Erin (vector-borne_disease_data_adjusted),Eggs/Female/Cycle,TFD,,,number of eggs laid by each gonotrophic cycle over number of females,number of eggs laid by each gonotrophic cycle over number of females,25,35,51.5,51.5,eggs/cycle,NA,,,,,1,4,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
17,Erin (vector-borne_disease_data_adjusted),Gonotrophic Cycle Length,GCD,,,number of days that the gonotrophic cycle lasts for an adult female,number of days that the gonotrophic cycle lasts for an adult female,25,20,604800,7,s,days,,,,,1,1,Lab,La Reunion island,Aedes,albopictus,Delatte_etal_2009_JMedEnto,Raw Data from Author,,,,
